study_name,time,island_name,colony_code,sample_number,organism_weight,sex,dorsal_ridge_length,dorsal_ridge_depth
,UTC,,,,gram,,mm,mm
PAL9899,1999-01-21T17:30:00Z,TOR,23,98019.0,4900.0,M,40.5,18.9
PAL9899,1999-01-21T17:30:00Z,TOR,23,98020.0,5500.0,M,38.3,18.0
PAL9899,1999-01-26T17:30:00Z,TOR,23,98021.0,4000.0,F,36.5,18.7
PAL9899,1999-01-26T17:30:00Z,TOR,23,98022.0,3950.0,F,38.5,16.5
PAL9899,1999-01-26T17:30:00Z,TOR,23,98023.0,3850.0,F,34.9,16.7
PAL9899,1999-01-26T17:30:00Z,TOR,23,98024.0,3750.0,F,34.6,16.4
PAL9899,1999-01-26T17:30:00Z,TOR,23,98025.0,4100.0,M,39.8,17.7
PAL9899,1999-02-01T18:00:00Z,TOR,23,98026.0,4800.0,M,40.7,19.0
PAL9899,1999-02-01T18:00:00Z,TOR,23,98027.0,4500.0,M,40.8,16.9
PAL9899,1999-02-01T18:00:00Z,TOR,23,98028.0,3550.0,F,35.3,17.0
PAL9899,1999-02-01T18:00:00Z,TOR,23,98029.0,4400.0,M,41.5,19.6
PAL9899,1999-02-01T18:00:00Z,TOR,23,98030.0,3850.0,F,36.3,15.5
PAL9899,1999-02-05T17:15:00Z,TOR,23,98031.0,5250.0,M,41.5,19.8
PAL9899,1999-02-05T17:15:00Z,TOR,23,98032.0,4000.0,F,37.5,18.3
PAL9899,1999-02-05T17:15:00Z,TOR,23,98033.0,4300.0,M,39.1,18.4
PAL9899,1999-02-05T17:15:00Z,TOR,23,98034.0,3850.0,F,33.4,15.7
PAL9899,1999-02-05T17:15:00Z,TOR,23,98035.0,4350.0,F,33.7,16.1
PAL9899,1999-02-11T17:30:00Z,TOR,23,98036.0,4250.0,F,35.0,18.5
PAL9899,1999-02-11T17:30:00Z,TOR,23,98037.0,4450.0,M,38.0,18.5
PAL9899,1999-02-11T17:30:00Z,TOR,23,98038.0,4750.0,M,38.3,18.0
PAL9899,1999-02-11T17:30:00Z,TOR,23,98039.0,4800.0,M,40.3,19.0
PAL9899,1999-02-11T17:30:00Z,TOR,23,98040.0,4550.0,M,39.4,18.0
PAL9899,1999-02-16T17:00:00Z,TOR,23,98041.0,4050.0,F,37.3,16.3
PAL9899,1999-02-16T17:00:00Z,TOR,23,98042.0,6000.0,M,41.8,17.5
PAL9899,1999-02-16T17:00:00Z,TOR,23,98043.0,5200.0,M,39.8,18.1
PAL9899,1999-02-16T17:00:00Z,TOR,23,98044.0,5500.0,M,40.2,18.7
PAL9899,1999-02-16T17:00:00Z,TOR,23,98045.0,5500.0,F,37.7,17.5
PAL9900,2000-01-09T19:00:00Z,TOR,23,99001.0,4200.0,M,39.1,18.9
PAL9900,2000-01-09T19:00:00Z,TOR,23,99002.0,4600.0,F,34.7,18.5
PAL9900,2000-01-09T19:00:00Z,TOR,23,99003.0,4950.0,M,39.0,20.0
PAL9900,2000-01-09T19:00:00Z,TOR,23,99004.0,4250.0,F,37.3,18.2
PAL9900,2000-01-09T19:00:00Z,TOR,23,99005.0,4100.0,F,37.1,20.1
PAL9900,2000-01-13T18:00:00Z,TOR,23,99006.0,3950.0,F,38.0,17.3
PAL9900,2000-01-13T18:00:00Z,TOR,23,99007.0,3750.0,F,36.9,17.0
PAL9900,2000-01-13T18:00:00Z,TOR,23,99008.0,4150.0,F,34.4,17.2
PAL9900,2000-01-13T18:00:00Z,TOR,23,99009.0,4000.0,F,36.3,15.9
PAL9900,2000-01-13T18:00:00Z,TOR,23,99010.0,4950.0,M,39.5,19.7
PAL9900,2000-01-18T18:30:00Z,TOR,23,99011.0,3850.0,F,34.0,18.8
PAL9900,2000-01-18T18:30:00Z,TOR,23,99012.0,4250.0,M,37.2,18.2
PAL9900,2000-01-18T18:30:00Z,TOR,23,99013.0,4050.0,F,35.7,17.8
PAL9900,2000-01-18T18:30:00Z,TOR,23,99014.0,4350.0,M,40.2,19.5
PAL9900,2000-01-18T18:30:00Z,TOR,23,99015.0,4750.0,F,31.6,16.0
PAL9900,2000-01-25T18:00:00Z,TOR,23,99016.0,4050.0,M,39.7,16.6
PAL9900,2000-01-25T18:00:00Z,TOR,23,99017.0,3750.0,F,38.3,15.8
PAL9900,2000-01-25T18:00:00Z,TOR,23,99018.0,4400.0,F,34.4,16.4
PAL9900,2000-01-25T18:00:00Z,TOR,23,99019.0,4100.0,F,36.6,17.3
PAL9900,2000-01-25T18:00:00Z,TOR,23,99020.0,4450.0,M,38.5,17.9
PAL9900,2000-01-29T18:00:00Z,TOR,23,99021.0,3850.0,F,36.0,16.7
PAL9900,2000-01-29T18:00:00Z,TOR,23,99022.0,4850.0,M,36.1,18.9
PAL9900,2000-01-29T18:00:00Z,TOR,23,99023.0,4600.0,M,38.8,18.2
PAL9900,2000-01-29T18:00:00Z,TOR,23,99024.0,3850.0,F,36.6,19.5
PAL9900,2000-01-29T18:00:00Z,TOR,23,99025.0,4700.0,M,43.5,19.5
PAL9900,2000-02-04T18:00:00Z,TOR,23,99026.0,4250.0,M,38.9,19.8
PAL9900,2000-02-04T18:00:00Z,TOR,23,99027.0,4400.0,F,35.1,17.6
PAL9900,2000-02-04T18:00:00Z,TOR,23,99028.0,3950.0,F,34.1,20.0
PAL9900,2000-02-04T18:00:00Z,TOR,23,99029.0,4600.0,M,39.8,18.6
PAL9900,2000-02-04T18:00:00Z,TOR,23,99030.0,4550.0,F,38.0,19.4
PAL9900,2000-02-07T18:30:00Z,TOR,23,99031.0,4500.0,M,38.7,19.0
PAL9900,2000-02-07T18:30:00Z,TOR,23,99032.0,4200.0,F,34.5,16.1
PAL9900,2000-02-07T18:30:00Z,TOR,23,99033.0,3950.0,M,40.3,18.6
PAL9900,2000-02-07T18:30:00Z,TOR,23,99034.0,4500.0,M,41.2,20.7
PAL9900,2000-02-07T18:30:00Z,TOR,23,99035.0,5400.0,M,37.6,19.6
PAL9900,2000-02-11T18:00:00Z,TOR,23,99036.0,4700.0,M,44.5,20.3
