time,island_name,colony_code,num_breeding_pairs,num_chicks
25/01/2000,TOR,21,3,1
25/01/2000,TOR,22,0,0
25/01/2000,TOR,23,118,120
25/01/2000,TOR,23.1,0,0
28/01/2000,CHR,1,90,196
28/01/2000,CHR,2,28,51
28/01/2000,CHR,3,31,70
28/01/2000,CHR,3.1,28,32
28/01/2000,CHR,4.1,1,1
28/01/2000,CHR,5,15,50
28/01/2000,CHR,6,74,142
28/01/2000,CHR,7,219,379
28/01/2000,CHR,7.1,18,21
28/01/2000,CHR,7.2,36,93
28/01/2000,CHR,8,110,182
28/01/2000,CHR,9.1,28,57
28/01/2000,CHR,10,3,3
28/01/2000,CHR,11,2,2
28/01/2000,COR,1,0,0
28/01/2000,COR,2,46,101
28/01/2000,COR,3,32,67
28/01/2000,COR,4,0,0
28/01/2000,COR,5,220,308
28/01/2000,COR,5.1,81,152
28/01/2000,COR,6,30,37
22/01/2001,LIT,1,0,0
22/01/2001,LIT,2,0,0
22/01/2001,LIT,3,0,0
22/01/2001,LIT,4,0,0
22/01/2001,LIT,5,36,23
22/01/2001,LIT,6,50,36
22/01/2001,LIT,7,21,27
22/01/2001,LIT,8,73,122
22/01/2001,LIT,9,19,15
23/01/2001,CHR,1,75,196
23/01/2001,CHR,2,24,49
23/01/2001,CHR,3,30,62
23/01/2001,CHR,3.1,20,32
23/01/2001,CHR,4.1,0,0
23/01/2001,CHR,5,14,43
23/01/2001,CHR,6,51,123
23/01/2001,CHR,7,199,359
23/01/2001,CHR,7.1,11,18
23/01/2001,CHR,7.2,37,78
23/01/2001,CHR,8,87,183
23/01/2001,CHR,9.1,28,69
23/01/2001,CHR,10,2,4
23/01/2001,CHR,11,2,2
23/01/2001,COR,1,0,0
23/01/2001,COR,2,55,105
23/01/2001,COR,3,32,61
23/01/2001,COR,4,0,0
23/01/2001,COR,5,228,318
23/01/2001,COR,5.1,69,158
23/01/2001,COR,6,23,21
23/01/2001,HUM,1.1,0,0
23/01/2001,HUM,1.2,0,0
23/01/2001,HUM,1.3,0,0
23/01/2001,HUM,2.1,25,128
23/01/2001,HUM,2.2,17,85
23/01/2001,HUM,3,53,335
23/01/2001,HUM,3.1,0,0
23/01/2001,HUM,4,24,111
23/01/2001,HUM,5,47,266
24/01/2001,TOR,1,29,42
24/01/2001,TOR,2,0,0
24/01/2001,TOR,3,0,0
24/01/2001,TOR,4,46,120
24/01/2001,TOR,5,9,42
24/01/2001,TOR,12,154,218
24/01/2001,TOR,13,109,145
24/01/2001,TOR,15,35,157
24/01/2001,TOR,17,0,0
24/01/2001,TOR,18,35,252
24/01/2001,TOR,19,134,668
24/01/2001,TOR,20,52,165
24/01/2001,TOR,21,0,0
24/01/2001,TOR,22,0,0
24/01/2001,TOR,23,55,108
24/01/2001,TOR,23.1,0,0
23/01/2002,HUM,1.1,0,0
23/01/2002,HUM,1.2,0,0
23/01/2002,HUM,1.3,0,0
23/01/2002,HUM,2.1,32,21
23/01/2002,HUM,2.2,19,37
23/01/2002,HUM,3,81,144
23/01/2002,HUM,3.1,0,0
23/01/2002,HUM,4,1,22
23/01/2002,HUM,5,45,48
23/01/2002,LIT,1,0,0
23/01/2002,LIT,2,0,0
23/01/2002,LIT,3,0,0
23/01/2002,LIT,4,0,0
23/01/2002,LIT,5,19,0
23/01/2002,LIT,6,16,0
23/01/2002,LIT,7,0,0
23/01/2002,LIT,8,56,0
23/01/2002,LIT,9,0,0
23/01/2002,TOR,1,7,11
23/01/2002,TOR,2,0,0
23/01/2002,TOR,3,0,0
23/01/2002,TOR,4,65,29
23/01/2002,TOR,5,14,23
23/01/2002,TOR,12,62,33
23/01/2002,TOR,13,41,38
23/01/2002,TOR,15,57,68
23/01/2002,TOR,17,0,0
23/01/2002,TOR,18,27,26
23/01/2002,TOR,19,181,86
23/01/2002,TOR,20,57,32
23/01/2002,TOR,21,0,0
23/01/2002,TOR,22,0,0
23/01/2002,TOR,23,46,26
23/01/2002,TOR,23.1,0,0
25/01/2002,CHR,1,1,16
25/01/2002,CHR,2,12,48
25/01/2002,CHR,3,5,25
25/01/2002,CHR,3.1,0,0
25/01/2002,CHR,4.1,0,0
25/01/2002,CHR,5,9,12
25/01/2002,CHR,6,16,73
25/01/2002,CHR,7,67,217
25/01/2002,CHR,7.1,0,0
25/01/2002,CHR,7.2,12,28
25/01/2002,CHR,8,32,70
25/01/2002,CHR,9.1,15,22
25/01/2002,CHR,10,0,0
25/01/2002,CHR,11,0,0
25/01/2002,COR,1,0,0
25/01/2002,COR,2,18,38
25/01/2002,COR,3,8,26
25/01/2002,COR,4,0,0
25/01/2002,COR,5,42,47
25/01/2002,COR,5.1,17,63
25/01/2002,COR,6,0,0
25/01/2003,CHR,1,108,98
25/01/2003,CHR,2,27,19
25/01/2003,CHR,3,44,46
25/01/2003,CHR,3.1,13,8
25/01/2003,CHR,4.1,0,0
25/01/2003,CHR,5,25,23
25/01/2003,CHR,6,105,91
25/01/2003,CHR,7,248,287
25/01/2003,CHR,7.1,5,3
25/01/2003,CHR,7.2,44,44
25/01/2003,CHR,8,100,112
25/01/2003,CHR,9.1,44,44
25/01/2003,CHR,10,0,0
25/01/2003,CHR,11,2,0
25/01/2003,COR,1,0,0
25/01/2003,COR,2,63,70
25/01/2003,COR,3,42,45
25/01/2003,COR,4,0,0
25/01/2003,COR,5,162,168
25/01/2003,COR,5.1,90,113
25/01/2003,COR,6,5,3
25/01/2003,HUM,1.1,0,0
25/01/2003,HUM,1.2,0,0
25/01/2003,HUM,1.3,0,0
25/01/2003,HUM,2.1,45,50
25/01/2003,HUM,2.2,35,63
25/01/2003,HUM,3,211,267
25/01/2003,HUM,3.1,0,0
25/01/2003,HUM,4,44,55
25/01/2003,HUM,5,130,171
25/01/2003,LIT,1,0,0
25/01/2003,LIT,2,0,0
25/01/2003,LIT,3,0,0
25/01/2003,LIT,4,0,0
25/01/2003,LIT,5,2,0
25/01/2003,LIT,6,0,0
25/01/2003,LIT,7,0,0
25/01/2003,LIT,8,56,4
25/01/2003,LIT,9,0,0
25/01/2003,TOR,1,14,7
25/01/2003,TOR,2,0,0
25/01/2003,TOR,3,0,0
25/01/2003,TOR,4,70,78
25/01/2003,TOR,5,35,35
25/01/2003,TOR,12,87,83
25/01/2003,TOR,13,63,45
25/01/2003,TOR,15,82,107
25/01/2003,TOR,17,0,0
25/01/2003,TOR,18,95,122
25/01/2003,TOR,19,336,447
25/01/2003,TOR,20,82,105
25/01/2003,TOR,21,0,0
25/01/2003,TOR,22,0,0
25/01/2003,TOR,23,69,63
25/01/2003,TOR,23.1,0,0
21/01/2004,HUM,1.1,0,0
21/01/2004,HUM,1.2,0,0
21/01/2004,HUM,1.3,0,0
21/01/2004,HUM,2.1,40,58
21/01/2004,HUM,2.2,43,56
21/01/2004,HUM,3,195,211
21/01/2004,HUM,3.1,0,0
21/01/2004,HUM,4,35,40
21/01/2004,HUM,5,102,137
21/01/2004,LIT,1,0,0
21/01/2004,LIT,2,0,0
21/01/2004,LIT,3,0,0
21/01/2004,LIT,4,0,0
21/01/2004,LIT,5,0,0
21/01/2004,LIT,6,0,0
21/01/2004,LIT,7,0,0
21/01/2004,LIT,8,46,28
21/01/2004,LIT,9,0,0
21/01/2004,TOR,1,13,8
21/01/2004,TOR,2,0,0
21/01/2004,TOR,3,0,0
21/01/2004,TOR,4,65,75
21/01/2004,TOR,5,29,44
21/01/2004,TOR,12,70,67
21/01/2004,TOR,13,40,33
21/01/2004,TOR,15,81,113
21/01/2004,TOR,17,0,0
21/01/2004,TOR,18,89,132
21/01/2004,TOR,19,272,389
21/01/2004,TOR,20,77,118
21/01/2004,TOR,21,0,0
21/01/2004,TOR,22,0,0
21/01/2004,TOR,23,68,55
21/01/2004,TOR,23.1,0,0
23/01/2004,CHR,1,96,91
23/01/2004,CHR,2,21,20
23/01/2004,CHR,3,45,39
23/01/2004,CHR,3.1,12,7
23/01/2004,CHR,4.1,0,0
23/01/2004,CHR,5,24,21
23/01/2004,CHR,6,0,0
23/01/2004,CHR,7,41,55
23/01/2004,CHR,7.1,277,331
23/01/2004,CHR,7.2,81,127
23/01/2004,CHR,8,96,110
