study_name,time,sample_number,source,prey_type,species_code,evidence_code,num_fish,evidence_size,evidence_weight,estimated_fish_length,estimated_fish_weight,notes
PAL0102,2002-01-07T00:00:00Z,1013,STOM,FISH,UNKN,OTOLITH,1,0.0,8,0,0,NaN
PAL0102,2002-01-07T00:00:00Z,1015,STOM,FISH,UNKN,OTOLITH,1,0.0,1,0,0,NaN
PAL0102,2002-01-15T00:00:00Z,1018,STOM,FISH,UNKN,OTOLITH,1,0.0,2,0,0,NaN
PAL0102,2002-01-15T00:00:00Z,1019,STOM,FISH,UNKN,OTOLITH,1,0.0,1,0,0,NaN
PAL0102,2002-01-15T00:00:00Z,1020,STOM,FISH,UNKN,OTOLITH,1,0.0,4,0,0,NaN
PAL0102,2002-01-21T00:00:00Z,1021,STOM,FISH,UNKN,"OTO,SPEC",13,60.0,10,0,0,NaN
PAL0102,2002-01-21T00:00:00Z,1022,STOM,FISH,UNKN,OTOLITH,1,0.0,10,0,0,NaN
PAL0102,2002-01-21T00:00:00Z,1022,STOM,FISH,PLAN,OTOLITH,1,0.0,15,0,0,NaN
PAL0102,2002-01-21T00:00:00Z,1023,STOM,FISH,UNKN,OTOLITH,1,0.0,50,0,0,NaN
PAL0102,2002-01-21T00:00:00Z,1025,STOM,FISH,UNKN,OTOLITH,5,0.0,23,0,0,NaN
PAL0102,2002-01-31T00:00:00Z,1026,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,110,0,0,NaN
PAL0102,2002-01-31T00:00:00Z,1027,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,56,0,0,NaN
PAL0102,2002-01-31T00:00:00Z,1028,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,65,0,0,NaN
PAL0102,2002-01-31T00:00:00Z,1029,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,88,0,0,NaN
PAL0102,2002-01-31T00:00:00Z,1030,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,-120,0,0,NaN
PAL0102,2002-02-09T00:00:00Z,1031,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,-101,0,0,NaN
PAL0102,2002-02-09T00:00:00Z,1032,STOM,FISH,UNKN,"OTO,FLSH",1,0.0,33,0,0,NaN
PAL0102,2002-02-09T00:00:00Z,1033,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL0102,2002-02-09T00:00:00Z,1034,STOM,FISH,UNKN,FLESH,1,0.0,-77,0,0,NaN
PAL0102,2002-02-09T00:00:00Z,1035,STOM,FISH,UNKN,FLESH,1,0.0,20,0,0,NaN
PAL0102,2002-02-22T00:00:00Z,1036,STOM,FISH,UNKN,FLESH,1,0.0,10,0,0,NaN
PAL0102,2002-02-22T00:00:00Z,1037,STOM,FISH,UNKN,FLESH,1,0.0,5,0,0,NaN
PAL0203,2002-12-10T00:00:00Z,2002,STOM,FISH,UNKN,BONE,1,0.0,1,0,0,NaN
PAL0203,2003-01-27T00:00:00Z,2028,STOM,FISH,UNKN,BONE,1,0.0,2,0,0,NaN
PAL0203,2003-01-27T00:00:00Z,2029,STOM,FISH,UNKN,FLESH,1,0.0,3,0,0,NaN
PAL0304,2004-02-05T00:00:00Z,3012,STOM,FISH,UNKN,OTOS,5,0.0,0,0,2,NaN
PAL0304,2004-02-05T00:00:00Z,3015,STOM,FISH,UNKN,OTOS,1,0.0,0,0,20,NaN
PAL0405,2005-01-21T00:00:00Z,4007,STOM,FISH,UNKN,SKULLS,4,0.0,25,0,0,NaN
PAL0405,2005-01-21T00:00:00Z,4010,STOM,FISH,UNKN,FLESH,0,0.0,1,0,0,NaN
PAL0405,2005-02-01T00:00:00Z,4011,STOM,FISH,UNKN,SKULLOTO,1,0.0,3,0,0,NaN
PAL0405,2005-02-01T00:00:00Z,4013,STOM,FISH,UNKN,OTO,0,0.0,0,0,0,NaN
PAL0405,2005-02-01T00:00:00Z,4014,STOM,FISH,UNKN,OTO,0,0.0,0,0,0,NaN
PAL0405,2005-02-01T00:00:00Z,4015,STOM,FISH,UNKN,OTO,0,0.0,0,0,0,NaN
PAL0506,2005-12-27T00:00:00Z,5002,STOM,FISH,UNKN,OTO,1,0.0,0,0,0,NaN
PAL0506,2005-12-27T00:00:00Z,5005,STOM,FISH,UNKN,OTO,1,0.0,0,0,0,NaN
PAL0506,2005-12-27T00:00:00Z,5006,STOM,FISH,UNKN,OTO FLSH,1,0.0,3,0,0,NaN
PAL0506,2006-01-11T00:00:00Z,5011,STOM,FISH,UNKN,FLESH,1,0.0,2,0,0,NaN
PAL0506,2006-01-30T00:00:00Z,5014,STOM,FISH,UNKN,FLESH,1,0.0,10,0,0,NaN
PAL0607,2007-02-02T00:00:00Z,6021,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0607,2007-02-02T00:00:00Z,6024,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0607,2007-02-02T00:00:00Z,6025,STOM,FISH,UNKN,OTO,5,0.0,1,0,0,NaN
PAL0708,2008-01-04T00:00:00Z,7003,STOM,FISH,UNKN,OTO,1,0.0,1,0,0,NaN
PAL0708,2008-01-11T00:00:00Z,7006,STOM,FISH,UNKN,OTO,2,0.0,1,0,0,NaN
