study_name,time,island_name,colony_code,num_breeding_pairs,num_chicks,census_time
,UTC,,,,,
PAL9798,1998-01-30T00:00:00Z,TOR,23.0,150,220,1200
PAL9798,1998-01-30T00:00:00Z,TOR,23.1,15,4,1200
PAL9798,1998-02-03T00:00:00Z,CHR,1.0,109,231,1300
PAL9798,1998-02-03T00:00:00Z,CHR,2.0,48,62,1300
PAL9798,1998-02-03T00:00:00Z,CHR,3.0,33,79,1300
PAL9798,1998-02-03T00:00:00Z,CHR,3.1,19,44,1300
PAL9798,1998-02-03T00:00:00Z,CHR,4.1,2,5,1300
PAL9798,1998-02-03T00:00:00Z,CHR,5.0,25,49,1300
PAL9798,1998-02-03T00:00:00Z,CHR,6.0,82,118,1300
PAL9798,1998-02-03T00:00:00Z,CHR,7.0,202,354,1300
PAL9798,1998-02-03T00:00:00Z,CHR,7.1,14,14,1300
PAL9798,1998-02-03T00:00:00Z,CHR,7.2,41,60,1300
PAL9798,1998-02-03T00:00:00Z,CHR,8.0,119,167,1300
PAL9798,1998-02-03T00:00:00Z,CHR,9.1,28,43,1300
PAL9798,1998-02-03T00:00:00Z,CHR,10.0,5,7,1300
PAL9798,1998-02-03T00:00:00Z,CHR,11.0,0,0,1300
PAL9798,1998-02-03T00:00:00Z,COR,1.0,2,2,1200
PAL9798,1998-02-03T00:00:00Z,COR,2.0,61,105,1200
PAL9798,1998-02-03T00:00:00Z,COR,3.0,28,51,1200
PAL9798,1998-02-03T00:00:00Z,COR,4.0,3,3,1200
PAL9798,1998-02-03T00:00:00Z,COR,5.0,257,280,1200
PAL9798,1998-02-03T00:00:00Z,COR,5.1,100,134,1200
PAL9798,1998-02-03T00:00:00Z,COR,6.0,64,69,1200
PAL9899,1999-01-23T00:00:00Z,CHR,1.0,167,193,1100
PAL9899,1999-01-23T00:00:00Z,CHR,2.0,37,57,1100
PAL9899,1999-01-23T00:00:00Z,CHR,3.0,52,77,1100
PAL9899,1999-01-23T00:00:00Z,CHR,3.1,40,43,1100
PAL9899,1999-01-23T00:00:00Z,CHR,4.1,1,2,1100
